Company	Job	Number of reviews	Overall_PM	Culture & Values_PM	Work/Life Balance_PM	Senior Management_PM	Comp & Benefits_PM	Career Opportunities_PM
Microsoft	product+manager	237	3.9	3.8	3.7	3.1	3.8	3.7
Cisco Systems	product+manager	7448	3.7	3.7	3.9	3.1	3.7	3.4
Google	product+manager	106	4.4	4.4	3.6	3.6	4.5	3.9
Hewlett-Packard	product+manager	151	3.1	3.3	3.2	2.6	3.0	2.8
Intel Corporation	product+manager	45	3.8	3.8	4.1	3.0	4.0	3.8
Lockheed Martin	product+manager	3279	3.5	3.4	3.6	2.9	3.5	3.3
Oracle	product+manager	170	3.4	2.9	3.6	3.2	3.0	3.1
Qualcomm	product+manager	17	4.1	3.6	3.4	2.6	4.1	4.3
Facebook	product+manager	1016	4.4	4.4	3.8	4.2	4.5	4.3
Yahoo	product+manager	100	3.8	3.7	3.5	3.0	4.1	3.5
Apple	product+manager	16	4.0	3.8	3.8	3.2	3.1	1.9
Motorola Mobility	product+manager	1743	3.3	3.5	3.4	2.6	3.7	2.7
Intuit	product+manager	78	3.5	3.7	3.5	2.8	4.4	3.1
EMC	product+manager	42	2.7	2.6	3.3	2.2	3.0	2.6
Accenture	product+manager	14060	3.6	3.7	3.1	3.1	3.3	3.6
eBay	product+manager	72	2.9	2.8	3.7	2.2	3.4	3.3
Boeing	product+manager	7	4.7	3.9	4.8	3.0	3.6	3.7
Symantec	product+manager	2277	3.4	3.3	3.8	2.6	3.6	3.1
Cerner	product+manager	1206	3.5	3.5	3.1	3.1	3.2	3.5
Thomson Reuters	product+manager	48	3.7	3.7	4.3	3.3	3.2	3.4
Garmin	product+manager	343	3.7	3.8	3.8	3.3	3.7	3.0
PayPal	product+manager	1258	3.5	3.5	3.6	2.9	3.8	3.3
Bloomberg L.P.	product+manager	1547	3.7	3.7	3.6	3.1	3.8	3.3
National Instruments	product+manager	17	4.1	4.5	4.6	3.6	2.7	4.0
Sun Microsystems	product+manager	29	2.7	3.5	3.4	1.8	3.8	2.9
FactSet	product+manager	651	3.6	3.9	4.1	3.2	3.3	3.2
Fidelity Investments	product+manager	10	4.1	3.9	3.3	2.3	3.7	3.0
NVIDIA	product+manager	917	3.8	3.8	3.4	3.4	3.7	3.6
Uber	product+manager	5	5.0	4.6	3.5	4.6	4.9	4.8
Expedia	product+manager	23	4.4	4.5	4.7	3.7	3.9	3.9
Nokia	product+manager	72	3.6	4.1	3.8	2.7	3.6	3.4
Electronic Arts	product+manager	1020	3.6	3.6	3.5	3.2	3.7	3.3
Dell	product+manager	67	3.4	3.5	3.4	2.9	3.4	3.4
Citrix Systems	product+manager	1249	3.5	3.7	3.7	2.9	3.7	3.2
General Dynamics Mission Systems	product+manager	669	3.0	2.8	3.4	2.3	3.2	2.7
CA Technologies	product+manager	1498	3.2	3.3	3.7	2.7	3.6	2.9
Twitter	product+manager	348	4.0	4.0	4.0	3.6	4.2	3.8
NetApp	product+manager	1593	3.5	3.9	4.0	3.0	3.6	3.2
Juniper Networks	product+manager	1140	3.7	3.6	3.8	3.1	3.9	3.4
LinkedIn	product+manager	1087	4.4	4.5	4.1	4.1	4.3	4.1
Motorola Solutions	product+manager	889	3.1	3.1	3.5	2.5	3.4	2.8
Interactive Intelligence	product+manager	539	4.2	4.3	4.0	3.7	3.9	3.9
